[2025-03-27 09:24:28,428: ERROR: 3005520168: Error in processing: [Errno 2] No such file or directory: 'config\\config.yaml']
[2025-03-27 09:27:04,451: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-03-27 09:27:04,495: INFO: common: yaml file: params.yaml loaded successfully]
[2025-03-27 09:27:04,513: INFO: common: yaml file: schema.yaml loaded successfully]
[2025-03-27 09:27:04,513: INFO: common: created directory at: artifacts]
[2025-03-27 09:27:04,513: INFO: common: created directory at: artifacts/data_validation]
[2025-03-27 09:27:04,564: INFO: 1313075877: Categorical columns encoded successfully.]
[2025-03-27 09:27:04,585: INFO: 1313075877: Features ['age', 'salary', 'tenure_years'] scaled successfully.]
[2025-03-27 11:09:43,976: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-03-27 11:09:43,993: INFO: common: yaml file: params.yaml loaded successfully]
[2025-03-27 11:09:43,997: INFO: common: yaml file: schema.yaml loaded successfully]
[2025-03-27 11:09:44,001: INFO: common: created directory at: artifacts]
[2025-03-27 11:09:44,003: INFO: common: created directory at: artifacts/model_trainer]
[2025-03-27 11:36:54,933: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-03-27 11:36:54,954: INFO: common: yaml file: params.yaml loaded successfully]
[2025-03-27 11:36:54,972: INFO: common: yaml file: schema.yaml loaded successfully]
[2025-03-27 11:36:54,974: INFO: common: created directory at: artifacts]
[2025-03-27 11:36:54,977: INFO: common: created directory at: artifacts/data_validation]
[2025-03-27 11:36:54,978: INFO: common: created directory at: artifacts/data_validation/data]
[2025-03-27 11:36:54,979: ERROR: 2939566936: Error in processing: DataValidationConfig.__init__() got an unexpected keyword argument 'validation_dir']
[2025-03-27 11:38:11,904: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-03-27 11:38:11,909: INFO: common: yaml file: params.yaml loaded successfully]
[2025-03-27 11:38:11,913: INFO: common: yaml file: schema.yaml loaded successfully]
[2025-03-27 11:38:11,915: INFO: common: created directory at: artifacts]
[2025-03-27 11:38:11,916: INFO: common: created directory at: artifacts/data_validation]
[2025-03-27 11:38:11,918: INFO: common: created directory at: artifacts/data_validation/data]
[2025-03-27 11:39:05,275: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-03-27 11:39:05,279: INFO: common: yaml file: params.yaml loaded successfully]
[2025-03-27 11:39:05,285: INFO: common: yaml file: schema.yaml loaded successfully]
[2025-03-27 11:39:05,288: INFO: common: created directory at: artifacts]
[2025-03-27 11:39:05,290: INFO: common: created directory at: artifacts/data_validation]
[2025-03-27 11:39:05,292: INFO: common: created directory at: artifacts/data_validation/data]
[2025-03-27 11:41:05,447: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-03-27 11:41:05,452: INFO: common: yaml file: params.yaml loaded successfully]
[2025-03-27 11:41:05,457: INFO: common: yaml file: schema.yaml loaded successfully]
[2025-03-27 11:41:05,460: INFO: common: created directory at: artifacts]
[2025-03-27 11:41:05,464: INFO: common: created directory at: artifacts/data_validation]
[2025-03-27 11:41:05,468: INFO: common: created directory at: artifacts/data_validation/data]
